Название вакансии,Название компании,зарплата,ссылка на вакансию
Разработчик Back-End и REST API (Senior) Мобильные приложения,ИП Ганеева Мария Сергеевна,200 000 – 450 000 ₽ на руки,https://hh.ru/vacancy/104982137?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior C# Unity,ООО Маналот Геймз,2 000 – 4 000 $ до вычета налогов,https://hh.ru/vacancy/106104760?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend Middle Developer,ООО Татикома системс,90 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105530434?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Developer C#,Bip.ru,150 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/89906381?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист/Разработчик встраиваемого ПО (embedded, ARM + RTOS)",ООО Модум,от 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/104832240?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший программист 1С,ООО Управляющая компания Интеллект-Капитал,до 250 000 ₽ на руки,https://hh.ru/vacancy/104559860?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,ООО Бытпласт,от 220 000 ₽ на руки,https://hh.ru/vacancy/104377707?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C#/.NET разработчик (senior),Платформа,280 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/106071581?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Lead C# Unity,ООО Маналот Геймз,2 000 – 4 000 $ до вычета налогов,https://hh.ru/vacancy/104390182?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист микроконтроллеров,ООО Саблайн Сервис,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104818070?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle+ .Net Developer / Ведущий разработчик,Акселератор возможностей,250 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105323499?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Junior frontend developer),amoCRM,до 50 000 ₽ до вычета налогов,https://hh.ru/vacancy/105237055?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик,Runexis,150 000 – 180 000 ₽ на руки,https://hh.ru/vacancy/105025329?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Преподаватель IT (м.Кутузовская),Компьютерная Академия Top,до 160 000 ₽ на руки,https://hh.ru/vacancy/103380172?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java разработчик,АО НТЦ ЕЭС Информационные Комплексы,до 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/104522654?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
IT-специалист,ИП Койфман Дана Владимировна,от 100 000 ₽ на руки,https://hh.ru/vacancy/105245689?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Angular-разработчик,ООО HelgiLab,от 200 000 ₽ на руки,https://hh.ru/vacancy/105314094?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Грэйт Фудз Инк.,120 000 – 130 000 ₽ на руки,https://hh.ru/vacancy/105998889?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Куратор учебного процесса,ЧУ ДО Московская школа программистов,от 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/105140633?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Webflow-разработчик,ООО Телетайп,от 40 000 ₽ на руки,https://hh.ru/vacancy/105680255?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший разработчик Perl,ООО Нектар,200 000 – 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/105277732?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1C (работа в офисе),АО Экотехпром,от 270 000 ₽ до вычета налогов,https://hh.ru/vacancy/105064804?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Full Stack разработчик/ PHP-разработчик/PHP delevoper,ООО БЕРГ Холдинг,от 190 000 ₽ на руки,https://hh.ru/vacancy/105449157?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-разработчик,ИП Ким Андрей Сергеевич,50 000 – 70 000 ₽ на руки,https://hh.ru/vacancy/105330377?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Объединение РОСИНКАС,от 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/106113724?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Fullstack Developer,ООО Миотик,от 300 000 ₽ на руки,https://hh.ru/vacancy/105321729?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист микроконтроллеров PIC,ООО Омкод,от 180 000 ₽ на руки,https://hh.ru/vacancy/104547533?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик нейросетевых алгоритмов / Computer Vision Engineer,Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем,70 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105746001?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Software Engineer C++,ООО Спектральные Технологии,300 000 – 450 000 ₽ до вычета налогов,https://hh.ru/vacancy/104793011?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior+/Middle PHP разработчик в веб-cтудию,Студия Oxem,80 000 – 130 000 ₽ на руки,https://hh.ru/vacancy/104997082?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior QA-engineer (Стажер) / Функциональное тестирование,Primo RPA,до 50 000 ₽ на руки,https://hh.ru/vacancy/105949000?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1C ERP,Овчинников Александр Владимирович,120 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/106088499?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-программист (Middle/Senior Java-Developer),INGURU.RU,350 000 – 450 000 ₽ на руки,https://hh.ru/vacancy/105238201?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend - разработчик (Laravel),ООО Сервис Клик,150 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105756486?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Go-разработчик,ООО Фабрика Решений,100 000 – 270 000 ₽ на руки,https://hh.ru/vacancy/105143690?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend - разработчик (Laravel),ООО Сервис Клик,150 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105756486?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Go-разработчик,ООО Фабрика Решений,100 000 – 270 000 ₽ на руки,https://hh.ru/vacancy/105143690?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик .Net (Senior),PravoTech,225 000 – 365 000 ₽ на руки,https://hh.ru/vacancy/104632805?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший инженер-программист 1С,АО ЦФР,от 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/104715982?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full stack PHP-разработчик на фреймворке Laravel,ООО Декор концепт,120 000 – 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/104341767?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,ООО Титан-ГС,100 000 – 140 000 ₽ на руки,https://hh.ru/vacancy/105300874?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,ООО ВНИПИ САУ-20,от 160 000 ₽ на руки,https://hh.ru/vacancy/105396426?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Веб-разработчик PHP HTML CSS JS (Битрикс),ООО Арктический Институт Науки и Технологий,от 65 000 ₽ на руки,https://hh.ru/vacancy/105273848?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Веб-программист (PHP),Гарант,200 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/90001770?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,ООО АЛМАЗ,от 300 000 ₽ на руки,https://hh.ru/vacancy/105966203?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend разработчик,Trisystems,400 000 – 550 000 ₽ на руки,https://hh.ru/vacancy/104818098?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО АЙТИ.СПЕЙС,250 000 – 270 000 ₽ на руки,https://hh.ru/vacancy/105475139?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Веб-разработчик Bitrix,KISLOROD,130 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104698615?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle+ Go Developer / Ведущий разработчик,Акселератор возможностей,200 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/105323457?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend разработчик Team Lead,ИП Таубина Софья Антоновна,от 1 500 $ на руки,https://hh.ru/vacancy/105165305?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Корректор методических пособий в школе программирования,ЧУ ДО Московская школа программистов,до 60 000 ₽ до вычета налогов,https://hh.ru/vacancy/105123172?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Разработчик систем компьютерного зрения (CV, ML)",ООО Братство Кодеров,180 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/104893592?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист аналитик 1С + SQL,ООО Кластерные технологии Софтпоинт,от 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105800152?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend разработчик Node/NestJS Middle+,ООО К2Т,от 200 000 ₽ на руки,https://hh.ru/vacancy/105117963?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист PHP (Bitrix),Репропарк,от 130 000 ₽ на руки,https://hh.ru/vacancy/106063514?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик / Backend-разработчик,ООО R-BAND,70 000 – 100 000 ₽ на руки,https://hh.ru/vacancy/105082107?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend developer,VSporte,от 120 000 ₽ на руки,https://hh.ru/vacancy/105136261?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший разработчик .Net (backend) финтех,Lite-Invest,240 000 – 320 000 ₽ до вычета налогов,https://hh.ru/vacancy/105035298?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Golang разработчик,Kvando Technologies,до 250 000 ₽ на руки,https://hh.ru/vacancy/104949909?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Front End Developer (iGaming),Вовнянко Олеся Викторовна,3 000 – 4 500 $ на руки,https://hh.ru/vacancy/104571711?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик,Semprogroup,110 000 – 180 000 ₽ на руки,https://hh.ru/vacancy/105041196?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист технической поддержки / Support / Интеграция,ООО Retail Rocket,60 000 – 80 000 ₽ на руки,https://hh.ru/vacancy/101490159?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Full-stack Разработчик (Django, React)",ООО Рамтроника,от 70 000 ₽ на руки,https://hh.ru/vacancy/105245855?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
WEB-разработчик,ООО Прогматик Лаб,от 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/106044306?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Middle Fullstack Developer (PHP, Laravel, Vue.js)",ООО Раш Эдженси,от 150 000 ₽ на руки,https://hh.ru/vacancy/105514206?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Go (middle),ООО Нетопия,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105357859?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Фронтенд React / React Native разработчик,ООО Секретные Агенты,70 000 – 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/104400165?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик,ART 3D-Graphics,до 200 000 ₽ на руки,https://hh.ru/vacancy/104911627?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик C/C++,ООО Ит Роут,200 000 – 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/105486027?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET разработчик (middle/middle+),Платформа,до 280 000 ₽ на руки,https://hh.ru/vacancy/106067832?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С/Ведущий разработчик 1С,Инфостарт,от 180 000 ₽ на руки,https://hh.ru/vacancy/105338947?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик,ФГБУ ГИВЦ Минкультуры России,130 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/104720501?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик 1С,ООО Управление информацией,от 200 000 ₽ на руки,https://hh.ru/vacancy/105741453?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (senior),EXPICO,280 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105975302?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист микроконтроллеров,ООО ИНФОМЕД,130 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105803245?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий Программист 1С,Единая Европа-Элит и сеть магазинов СТИЛЬПАРК,280 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/96721745?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С ERP (Ведущий программист по системам управления предприятием),Москабельмет,от 300 000 ₽ на руки,https://hh.ru/vacancy/106015503?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С,МКСКОМ,от 220 000 ₽ на руки,https://hh.ru/vacancy/103310148?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP разработчик (back-end developer),Convergent,от 125 000 ₽ до вычета налогов,https://hh.ru/vacancy/105977051?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
